Editorial review board
Generally accepted accounting principles
tenure-track
Masters of Accountancy
Masters of Business
Certified Public Accountants
peer review
executive education
Sarbanes Oxley
academic job market
ethical dilemmas
group exam
M.B.A.
Ph.D
financial accounting
professional accounting
operations research
management science
Microsoft Excel
data visualization
open source
software tool
business program
introductory course
industrial engineering
management information system
global business
international business
business school
business education
problem based learning
net present value
distance education
data modeling
team project
group project
cooperative learning
experiential learning
lessons learned
