"","8"
"entrepreneurship",562
"student",276
"business",190
"education",166
"program",145
"school",114
"learning",65
"course",62
"economic",50
"modeling",48
"class",42
"skills",41
"development",40
"team",40
"experience",36
"social",36
"teaching",35
"technology",35
"management",34
"market",34
"training",34
"activities",32
"process",32
"undergraduate",32
"academic",31
"faculty",31
"knowledge",31
"copyright",30
"employment",30
"factors",30
"project",30
"college",27
"future",27
"growth",27
"sife",26
"success",26
"universities",26
"venture",26
"creativity",25
"field",25
"impact",25
"self",24
"financial",23
"innovation",23
"case",22
"community",22
"content",22
"users",22
"computer",21
"entrepreneur",21
"opportunities",21
"role",21
"sample",21
"state",21
"opportunity",20
"organizational",20
"theory",20
"work",20
"context",19
"environment",19
"information",19
"journal",19
"test",19
"data",18
"educational",18
"engineering",18
"intentions",18
"system",18
"behavior",17
"curriculum",17
"group",17
"service",17
"textbooks",17
"american",16
"assessment",16
"attitude",16
"businesses",16
"career",16
"goals",16
"individual",16
"traditional",16
"firms",15
"framework",15
"intention",15
"thinking",15
"ventures",15
"area",14
"challenges",14
"economy",14
"graduates",14
"institutions",14
"literature",14
"material",14
"teach",14
"activity",13
"articles",13
"centers",13
"enterprise",13
"firm",13
"gender",13
"innovative",13
"interest",13
"marketing",13
"organization",13
"property",13
"published",13
"teachers",13
"terms",13
"written",13
"change",12
"competition",12
"concepts",12
"critical",12
"design",12
"enterprises",12
"hours",12
"influence",12
"life",12
"measures",12
"members",12
"participants",12
"risk",12
"value",12
"variables",12
"accuracy",11
"active",11
"businessschool",11
"decision",11
"exercise",11
"leadership",11
"non",11
"problem",11
"question",11
"questions",11
"respondents",11
"structure",11
"tool",11
"world",11
"writing",11
"youth",11
"abridged",10
"abstracts",10
"applies",10
"attitudes",10
"businesseducation",10
"characteristics",10
"copied",10
"copy",10
"download",10
"email",10
"emailed",10
"employee",10
"express",10
"holder",10
"listserv",10
"needs",10
"ownership",10
"permission",10
"planning",10
"positions",10
"posted",10
"print",10
"quality",10
"refer",10
"sites",10
"stock",10
"strategies",10
"survey",10
"time",10
"warranty",10
"adoption",9
"applied",9
"arkansas",9
"assess",9
"colleges",9
"customer",9
"degree",9
"evaluation",9
"evidence",9
"generation",9
"hip",9
"human",9
"industry",9
"international",9
"jordan",9
"lessons",9
"measure",9
"methodology",9
"nascent",9
"practice",9
"researchers",9
"states",9
"understanding",9
"whitney",9
"ability",8
"alumni",8
"application",8
"books",8
"choice",8
"commerce",8
