"","words","term.freq","doc.freq"
"103","course",4000,1897
"11","accounting",3222,1006
"1177","leadership",2033,535
"643","school",1816,1168
"320","modeling",1738,923
"1220","marketing",1725,648
"45","skills",1565,865
"24","using",1536,1246
"531","also",1497,1319
"797","system",1447,729
"66","financial",1400,671
"694","information",1367,827
"162","development",1322,881
"524","project",1216,566
"484","program",1206,571
"222","two",1202,952
"193","ethics",1188,360
"517","group",1156,664
"526","data",1129,803
"304","performance",1127,599
"31","process",1098,769
"326","one",1094,942
"651","experience",1081,800
"1375","economic",1050,508
"173","undergraduate",1037,843
"1175","faculty",1021,580
"40","problem",1018,628
"543","knowledge",995,656
"649","new",954,723
"82","decision",949,611
"68","team",940,412
"285","educator",933,687
"266","may",919,718
"492","work",910,648
"834","curriculum",892,562
"9","well",879,782
"110","provides",869,766
"5257","entrepreneurship",846,210
"148","level",822,629
"705","time",804,603
"309","design",800,541
"329","assessment",791,453
"792","technology",783,457
"36","will",782,591
"28","tool",778,556
"42","many",773,679
"6608","hospitality",763,322
"695","within",758,595
"37","understanding",756,645
"641","three",756,624
"823","organizational",742,494
"218","professional",737,466
"228","first",720,611
"502","theory",699,496
"277","however",695,657
"44","develop",688,607
"611","related",680,547
"135","strategic",677,415
"4","online",669,293
"2407","social",666,373
"1180","exercise",657,345
"156","literature",656,524
"93","concepts",648,487
"861","educational",630,484
"1433","survey",629,502
"294","environment",622,488
"54","industry",621,379
"119","perceptions",619,392
"975","market",616,366
"211","future",613,528
"15","role",604,494
"182","behavior",600,388
"501","practice",599,458
"952","studies",599,452
"78","impact",591,486
"57","value",586,417
"908","international",585,362
"1878","self",578,360
"865","framework",577,411
"1055","found",568,481
"273","critical",551,392
"479","traditional",548,429
"136","assignment",539,312
"158","factors",537,384
"98","different",529,435
"1113","support",526,435
"483","world",523,440
"581","help",523,466
"206","number",521,422
"1462","differences",520,385
"180","experiences",518,420
"1326","topic",517,381
"1548","content",515,416
"1157","quality",512,335
"608","year",510,389
"1293","service",509,264
"349","current",504,444
"322","importance",503,417
"828","need",502,446
"1670","discussed",499,472
"341","provided",496,451
"696","context",493,401
"127","material",489,333
"1510","universities",485,371
"367","presented",483,438
"251","major",475,362
"580","developed",471,434
"1117","suggest",470,439
"147","graduate",461,327
"776","years",461,393
"74","focus",459,413
"8","company",458,275
"272","including",457,418
"522","developing",456,408
"698","potential",456,405
"107","presents",454,432
"1401","feedback",451,281
"1005","better",446,402
"311","principles",445,317
"1474","perceived",444,314
"274","thinking",443,270
"2431","college",441,324
"1643","high",440,344
"92","among",437,384
"72","several",432,389
"569","individual",432,352
"209","evidence",420,350
"296","experiential",420,294
"1133","questions",420,319
"170","activities",419,300
"371","key",417,359
"1143","training",417,251
"194","indicate",413,393
"1923","relationship",413,320
"830","success",410,321
"1016","whether",409,351
"105","part",406,336
"374","benefits",400,334
"536","make",394,359
"2114","game",394,164
"1023","set",393,324
"1024","simulation",393,172
"11742","tourism",390,159
"143","strategies",389,298
"210","positive",387,309
"405","four",387,330
"177","examine",384,355
"115","required",383,326
"669","must",382,314
"639","opportunity",380,333
"279","change",379,272
"1656","various",379,345
"200","levels",377,306
"1134","examines",376,366
"1245","although",376,359
"247","addition",374,358
"1160","institutions",374,299
"112","implementation",373,302
"284","career",372,236
"1125","web",371,212
"940","application",370,306
"50","large",369,318
"521","cost",367,216
"887","show",367,331
"610","understand",365,344
"516","interest",363,292
"114","communication",362,243
"276","introductory",362,280
"519","personal",359,282
"25","excel",357,182
"305","identify",357,328
"1039","pedagogical",351,302
"1035","members",349,255
"165","review",348,275
"801","given",347,319
"1616","degree",346,277
"593","associated",345,292
"1757","influence",345,289
"632","evaluation",344,258
"308","improve",342,309
"573","challenges",339,275
"1714","test",339,243
"1571","journal",337,190
"1791","way",336,305
"667","areas",335,288
"1497","graduates",333,227
"898","significantly",331,282
"1234","often",331,300
"293","active",328,238
"1969","field",328,260
"373","include",325,308
"253","second",324,280
"2033","opportunities",324,284
"174","across",323,293
"39","control",322,213
"325","risk",322,180
"30","regarding",320,280
"1809","general",320,278
"1086","order",319,292
"354","ability",317,267
"662","learn",316,262
"438","changes",315,255
"656","satisfaction",310,174
"594","practices",308,244
"1072","determine",308,274
"1611","increase",308,270
"595","find",306,254
"862","objectives",306,252
"2561","processes",305,224
"473","useful",303,281
"5042","mba",302,211
"318","community",301,203
"1000","sales",301,117
"570","particular",300,283
"2135","computer",300,153
"79","reports",299,270
"108","instructional",297,211
