"","12"
"system",1496
"information",1117
"technology",681
"modeling",515
"data",414
"computer",399
"design",337
"software",332
"tool",319
"excel",285
"web",284
"problem",262
"programming",241
"student",236
"business",218
"database",212
"internet",199
"technologies",180
"development",156
"commerce",154
"applications",153
"security",149
"mis",137
"program",132
"teaching",127
"application",113
"technical",113
"case",112
"process",110
"world",106
"general",105
"user",104
"concepts",102
"users",99
"engineering",94
"features",89
"educational",88
"requirements",87
"implementation",84
"topic",82
"curriculum",80
"enterprise",79
"techniques",78
"solution",74
"acceptance",74
"electronic",73
"component",72
"computing",72
"visual",68
"spreadsheets",67
"optimization",67
"computers",64
"operations",63
"network",63
"usage",62
"survey",61
"interactive",61
"adoption",60
"processing",59
"object",59
"planning",58
"introductory",56
"knowledge",56
"scenario",54
"integer",53
"understanding",51
"environment",51
"resource",50
"examples",50
"integration",50
"linear",50
"required",49
"hands",49
"clickers",49
"time",48
"literacy",48
"sites",48
"resources",47
"diagrams",47
"managementscience",47
"wiki",47
"websites",46
"online",45
"modules",44
"phase",44
"site",43
"traditional",41
"practitioners",41
"website",41
"analytics",41
"datamodeling",41
"source",40
"managementinformationsystem",40
"microsoft",39
"solutions",39
"databases",39
"science",38
"server",38
"ease",37
"components",37
