2,1,Accounting Education,Teaching ethics in accounting: a discussion of cross-cultural factors with a focus on Confucian and Western philosophy,2000,9,1, 23-35,23,35,http://www.tandfonline.com/doi/abs/10.1080/096392800413636,pressure business professionalaccounting bodies ethics education reflected academic curriculum development expand debate accounting ethics education account globalization business accounting educational services draw cultural factors impact confucius ethics thinking east south east asia comparisons western attitudes secular philosophies chosen future asian area global commerce fact understanding ethics thinking behaviour appreciation confucian thought,Waldmann, Erwin,,,,,,,,,,,,,,,,
12,1,Accounting Education,Tax ethics education in New Zealand tertiary institutions: a preliminary study,2000,9,3, 259-279,259,279,http://www.tandfonline.com/doi/abs/10.1080/09639280010017220,uphold public confidence businesses active formulating ethics policies regulate behaviour members accepted educational preparation business critical implementation policies taxation area impact human behaviour pertinent taxation course ethics sensitize student ethics area ascertain state ethics teaching tax curriculum zealand tertiary institutions looks ethics time devoted subject teaching mode resources types assessment area curriculum subject evidence strengthen ethics component taxation curriculum zealand tertiary institutions,Tan, Lin Mei,Chua, Frances,,,,,,,,,,,,,,
71,1,Accounting Education,Gender differences in accounting education: an undergraduate exploration,2002,12,2, 177-196,177,196,http://www.tandfonline.com/doi/abs/10.1080/0963928032000091765,evidence females outperforming males secondary education subjects data education cut impact gender undergraduate accounting performance ranging performance conflicting literature gender dependent assessment reporting females males coursework assessments position reversed examinations gender performance measures accounting financial degree data population honours graduates thick sandwich accounting financial degree robert gordon school scotland data extracted student files multitude independent performance variables categorized school data school performance data honours performance data individual module global coursework examination performance statistical independent sample technique whereby population categorized gender male female test mann whitney test dependent distribution independent variable gender females outperformed male counterparts accounting module auditing module distance learning program gender modules evident coursework examination performance sex group gender apparent auditing module,Gammie, Elizabeth,Paver, Brenda,Gammie, Bob,Duncan, Fiona,,,,,,,,,,
102,1,Accounting Education,Gender and motivational differences in approaches to learning by a cohort of open learning students,2003,13,4, 431-448,431,448,http://www.tandfonline.com/doi/full/10.1080/0963928042000306765#abstract,relationship gender motivational student learning revised biggs process questionnaire business student learning australia data structural equation modeling modeling subsequently gender group modeling applicable male female student strengths relationships measurement modeling modeling learning strategies male female business student challenge accepted wisdom regard questionnaire development researchers sensitive gender questions phrased constructs,Lange, Paul de,Mavondo, Felix,,,,,,,,,,,,,,
131,1,Accounting Education,"Constructed gender, approach to learning and academic performance",2004,14,4, 427-444,427,444,http://www.tandfonline.com/doi/full/10.1080/06939280500347142#abstract,relationship constructed gender learning academic performance student robert gordon school scotland data cohorts student namely accounting financial student business student constructed gender gender identity bem sex role inventory bem bem measurement psychological androgyny journal consulting clinical psychology references journal consulting clinical psychology learning revised inventory entwistle tait entwistle tait revised inventory centre learning instruction edinburgh school edinburgh references revised inventory centre learning instruction edinburgh school edinburgh neither biological gender constructed gender academic performance learning biological gender constructed gender female student scored surface case student feminine constructed gender academic performance student scored deep strategic academic self confidence dimension metacognitive dimension correlation adopting surface academic performance learning terms academic performance constructed biological gender,Paver, Brenda,Gammie, Elizabeth,,,,,,,,,,,,,,
133,1,Accounting Education,"Gender, media presentation, and concern with the correct use of words_Üîtesting a three-way interaction",2005,15,1, 61-72,61,72,http://www.tandfonline.com/doi/full/10.1080/06939280500453148#abstract,interaction gender media presentation correct words affecting student performance accounting expectation verbal cues descriptions female student male student imagery recall accounting information measurement quiz performance accounting class usa evidence characteristics accent correct words class presentation media student performance recall differently gender semester correct words presentation contributed poor performance quizzes female student male student semester progressed female performance performance male student female student adapted nonpreferred instructor verbal characteristics presentation,Nouri, Hossein,Clinton, B. Douglas,,,,,,,,,,,,,,
138,1,Accounting Education,Using dimensions of moral intensity to predict ethical decision-making in accounting,2005,15,2, 135-149,135,149,http://www.tandfonline.com/doi/full/10.1080/06939280600609151#abstract,ethics decision intensity moral conflict embezzling sums money unethical stealing pen piece workplace characteristics moral accounting student ethics decision process moral sensitivity moral judgment moral intentions stage modeling rest rest moral development advances amp theory york praeger references expanded jones jones ethics decision individuals organizational issue contingent modeling academy management references measure moral decision process sample accounting majors business college usa moral intensity appeared dimensions corporate dimensions predict moral sensitivity moral sensitivity predict student moral judgment likewise moral judgment dimensions moral intensity predicted accounting student moral intentions extend understanding influence moral intensity components moral decision process ethics coursework training program educational industrial,Leitsch, Deborah   L.,,,,,,,,,,,,,,,,
146,1,Accounting Education,"Accounting and sustainability, encouraging a dialogical approach; integrating learning activities, delivery mechanisms and assessment strategies",2005,15,3, 261-273,261,273,http://www.tandfonline.com/doi/full/10.1080/09639280600850695#abstract,documents dialogic design honours undergraduate degree course accounting sustainability course individual commitment wider department dialogic education freire pedagogy oppressed london penguin accounting curriculum praxis integral student learning experience thomson bebbington doesn matter teach critical accounting component course group collaborative project shadow account example dey corporate silent shadow social accounting social environmental accounting journal gray gray silent practice social accounting corporate social reporting companies corporate accountability emerging practices social ethics accounting auditing reporting edited zadek london earthscan references silent practice social accounting corporate social reporting companies zadek eds corporate accountability emerging practices social ethics accounting auditing reporting london earthscan company sainsbury plc learning activity delivery mechanisms assessment dialogic educative experience course recounting experiences describing student prove course subject area accounting course mind moving dialogic concluding section,Coulson, Andrea   B,Thomson, Ian,,,,,,,,,,,,,,
172,1,Accounting Education,Accounting Education Lags CPE Ethics Requirements: Implications for the Profession and a Call to Action,2006,16,4, 345-363,345,363,http://www.tandfonline.com/doi/full/10.1080/09639280701646521#abstract,accounting professional usa crisis legitimacy aftermath barrage business scandals legislation forced reforms reinforcing ethics education time external pressure school accounting degree program quo inadequate ethics curriculum ethics course state cpe program grown dramatically creates problem bad pedagogy cpe ethics course rote delivery professional codes conduct grounded conceptual frameworks school accounting program state affairs circular perpetuates inadequate ethics education professional deficiency remedied requirement stand alone ethics course delivered accounting curriculum foundation degree requirements cpe course step direction white recommends content course,Fisher, Dann   G.,Swanson, Diane   L.,Schmidt, Jaime   J.,,,,,,,,,,,,
191,1,Accounting Education,The Perceived Importance of an Ethical Issue as a Determinant of Ethical Decision-making for Accounting Students in an Academic Setting,2007,17,3, 327-348,327,348,http://www.tandfonline.com/doi/full/10.1080/09639280701272666#abstract,impact ethics decision ethics issue pie accounting student academic objective test measure generalizability gauging ethics decision objective draw inferences pie pedagogical validity measure reasonably captured ethics issue pie ethics judgment behavioural intention accounting teacher ethics training business,Guffey, Daryl   M.,Mccartney, Mark   W.,,,,,,,,,,,,,,
194,1,Accounting Education,Ethics Education for Accounting Students_Üîa Toolkit Approach,2007,17,4, 405-430,405,430,http://www.tandfonline.com/doi/full/10.1080/09639280802436681#abstract,international accounting education standards board iaesb independent board international federation accounting ifac released information entitled development maintenance professional values ethics attitudes accounting education program information stems global project ethics education accounting professional stimulate debate subject ethics education provision ethics education toolkit accounting teacher member bodies ifac ethics education programmes literature teach ethics types ethics interventions teaching ethics accountancy student ethics education toolkit evidence reaction group student ethics principles practice toolkit,Cooper, Barry   J.,Leung, Philomena,Dellaportas, Steven,Jackling, Beverley,,,,,,,,,,
202,1,Accounting Education,The International Association for Accounting Education and Research (IAAER): The Code of Ethics for Accounting Educators,2007,17,Supplement 1, S81-S86,#VALUE!,#N/A,http://www.tandfonline.com/doi/full/10.1080/09639280802379949#abstract,iaaer committed promoting excellence accounting education worldwide aspires maximize contribution accounting academics development maintenance quality globally recognized standards accounting education practice iaaer code ethics accounting teacher supports iaaer mission excellence accounting education internationally responsibility accounting teacher responsibilities accounting education academic service accounting professional,Needles Jr, Belverd   E. ,,,,,,,,,,,,,,,,
