Disc,journal,title,vol,year,,issue,pages,PageFrom,PageTp,url,abstract,Author,A1Delim,A2Delim,A3Delim,A4Delim,A5Delim,A6Delim,A7Delim,A8Delim,A9Delim,Auth1,Auth2,Auth3,Auth4,Auth5,Auth6,Auth7,Auth8,Auth9,PgDelim,PgFrom,PgTo,X
6,Academy of Management Learning {\&} Education,Russell L. Ackoff.,1,2002,,1,56--63,NA,NA,10.5465/AMLE.2002.7373640 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=7373640{\&}site=ehost-live{\&}scope=site,interviews russell ackoff one pioneers career background views objective academy journal elements included idealized plan,"Detrick, Glenn",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Detrick, Glenn",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,56,63,
6,Academy of Management Learning {\&} Education,Damned by Our Own Theories: Contradictions Between Theories and Management Education.,1,2002,,1,96--106,NA,NA,10.5465/AMLE.2002.7373701 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=7373701{\&}site=ehost-live{\&}scope=site,explains contradiction views expressed major contemporary social science theories school assumptions founded theory efficient market agency theory judgmental bias theory,"Donaldson, Lex",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Donaldson, Lex",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,96,106,
6,Academy of Management Learning {\&} Education,9/11 Montage: Professors Remember.,1,2002,,1,14--37,NA,NA,10.5465/AMLE.2002.7373563 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=7373563{\&}site=ehost-live{\&}scope=site,presents stories memories professors september terrorist attacks responses professors terrorist attacks effects terrorist attacks lessons future theory practice,"Fukami, Cynthia V",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Fukami, Cynthia V",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,14,37,
6,Academy of Management Learning {\&} Education,Being Good Versus Looking Good: Business School Rankings and the Circean Transformation From Substance to Image.,1,2002,,1,107--120,NA,NA,10.5465/AMLE.2002.7373729 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=7373729{\&}site=ehost-live{\&}scope=site,argues school rankings producing accelerating circe like transformation school substance image attractions advantages rankings dangers disadvantages rankings ranking,"Gioia, Dennis A; Corley, Kevin G",16,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Gioia, Dennis A","Corley, Kevin G",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,107,120,
6,Academy of Management Learning {\&} Education,Teaching Through Traumatic Events: Uncovering the Choices of Management Educators as They Responded to September 11th.,1,2002,,1,38--54,NA,NA,10.5465/AMLE.2002.7373603 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=7373603{\&}site=ehost-live{\&}scope=site,presents explored responses professors september terrorist attacks drivers influenced responses professors trauma following terrorist attacks integrative response events processing responses,"Greenberg, Danna N; Clair, Judith A; Maclean, Tammy L",19,36,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Greenberg, Danna N","Clair, Judith A","Maclean, Tammy L",-x-,-x-,-x-,-x-,-x-,-x-,3,38,54,
6,Academy of Management Learning {\&} Education,Educating Managers Beyond Borders.,1,2002,,1,64--76,NA,NA,10.5465/AMLE.2002.7373654 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=7373654{\&}site=ehost-live{\&}scope=site,discusses beyond borders borders school borders functions borders among,"Mintzberg, Henry; Gosling, Jonathan",17,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Mintzberg, Henry","Gosling, Jonathan",-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,64,76,
6,Academy of Management Learning {\&} Education,The End of Business Schools? Less Success Than Meets the Eye.,1,2002,,1,78--95,NA,NA,10.5465/AMLE.2002.7373679 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=7373679{\&}site=ehost-live{\&}scope=site,presents update state school september effects school careers concentrates master administration mba degree significance school barriers changing mba modeling,"Pfeffer, Jeffrey; Fong, Christina T",17,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Pfeffer, Jeffrey","Fong, Christina T",-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,78,95,
6,Academy of Management Learning {\&} Education,Students as Clients: A Professional Services Model for Business Education.,2,2003,,4,371--374,NA,NA,10.5465/AMLE.2003.11901964 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=11901964{\&}site=ehost-live{\&}scope=site,provides comments limitations customer modeling guiding operations school proposed junior partner analogy describe professional services client modeling offers realistic guide core school operations either customer modeling partner modeling next section begins noting situations partner modeling well suited shows realistic program defines client analogy illustrates offers better fit insights suggests undergraduate mba program core school activities client modeling provides much useful analogy either partner modeling customer modeling hand partner modeling well suited exceptional program phd,"Armstrong, Michael J",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Armstrong, Michael J",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,371,374,
6,Academy of Management Learning {\&} Education,Walter Nord as Intellectual and Pedagogical Hero.,2,2003,,4,378--384,NA,NA,10.5465/AMLE.2003.11901968 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=11901968{\&}site=ehost-live{\&}scope=site,presents interview walt nord professor school south florida recipient academy distinguished teacher award nord born mount kisco new york took economic political science williams college interest trade unions labor market economic led industrial labor relations school cornell masters degree chance graduate assistantship organizational psychologist ned rosen rosen served mentor nord encouraged pursue doctorate psychology washington school nord fortunate receive fellowship community mental health program led john glidewell following days washington school continued teacher school respect personal dimension nord first emerged dissertation conformity exchange theory published issue psychological bulletin,"Bailey, James R; Nord, Walter R",16,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Bailey, James R","Nord, Walter R",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,378,384,
6,Academy of Management Learning {\&} Education,Process Theorizing: Too Important to Ignore in a Kaleidic World.,2,2003,,3,288--291,NA,NA,10.5465/AMLE.2003.10932145 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=10932145{\&}site=ehost-live{\&}scope=site,analyzes arguments made lex donaldson andrew watson school professors role theory donaldson watson highlight role theory plays limit variance theory one two fundamental types theory social science given variance theory long dominant paradigm held scientists philosophers well general public isn surprising professors emphasize orientation variance theory explains variation dependent variable result variation independent variable generally attempts explain phenomenon using small set well developed variables embedded nomological net tested statistical techniques suited predicting unaffected temporal ordering independent variables alternatively process theory develops causal explanation sequence events time telling story phenomenon evolved result temporal ordering probabilistic interaction numerous events,"Chiles, Todd H",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Chiles, Todd H",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,288,291,
