Disc,journal,title,year,vol,num,pages,PageFrom,PageTp,url,abstract,Author,A1Delim,A2Delim,A3Delim,A4Delim,A5Delim,A6Delim,A7Delim,A8Delim,A9Delim,Auth1,Auth2,Auth3,Auth4,Auth5,Auth6,Auth7,Auth8,Auth9,PgDelim,PgFrom,PgTo,
6,Academy of Management Learning {\&} Education,Russell L. Ackoff.,2002,1,1,56--63,,,10.5465/AMLE.2002.7373640 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=7373640{\&}site=ehost-live{\&}scope=site,"Interviews Russell L. Ackoff, one of the pioneers in management education in the U.S. Career background; Views on the objective of the 'Academy of Management Learning and Education' journal; Elements to be included in an idealized plan for management education.","Detrick, Glenn",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Detrick, Glenn",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,56,63,
6,Academy of Management Learning {\&} Education,Damned by Our Own Theories: Contradictions Between Theories and Management Education.,2002,1,1,96--106,,,10.5465/AMLE.2002.7373701 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=7373701{\&}site=ehost-live{\&}scope=site,Explains that there is a contradiction between the views expressed by some major contemporary social science theories taught in management schools and the assumptions on which management education is founded.  Theory of efficient markets; Agency theory; Judgmental bias theory.,"Donaldson, Lex",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Donaldson, Lex",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,96,106,
6,Academy of Management Learning {\&} Education,9/11 Montage: Professors Remember.,2002,1,1,14--37,,,10.5465/AMLE.2002.7373563 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=7373563{\&}site=ehost-live{\&}scope=site,"Presents the stories and memories of management professors about the September 11, 2001 terrorist attacks in the U.S.  Responses of the professors to the terrorist attacks; Effects of the terrorist attacks on management students; Lessons for the future management theory and practice.","Fukami, Cynthia V",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Fukami, Cynthia V",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,14,37,
6,Academy of Management Learning {\&} Education,Being Good Versus Looking Good: Business School Rankings and the Circean Transformation From Substance to Image.,2002,1,1,107--120,,,10.5465/AMLE.2002.7373729 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=7373729{\&}site=ehost-live{\&}scope=site,"Argues that business school rankings are producing an accelerating, Circe-like transformation of U.S. business schools from substance to image.  Attractions and advantages of the rankings; Dangers and disadvantages of the rankings; Implications of the ranking.","Gioia, Dennis A; Corley, Kevin G",16,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Gioia, Dennis A","Corley, Kevin G",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,107,120,
6,Academy of Management Learning {\&} Education,Teaching Through Traumatic Events: Uncovering the Choices of Management Educators as They Responded to September 11th.,2002,1,1,38--54,,,10.5465/AMLE.2002.7373603 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=7373603{\&}site=ehost-live{\&}scope=site,"Presents a study which explored the responses of management professors to the September 11, 2002 terrorist attacks in the U.S. and the drivers which influenced these responses.  Methods; Approaches of professors to trauma management following the terrorist attacks; Integrative response and events-processing responses.","Greenberg, Danna N; Clair, Judith A; Maclean, Tammy L",19,36,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Greenberg, Danna N","Clair, Judith A","Maclean, Tammy L",-x-,-x-,-x-,-x-,-x-,-x-,3,38,54,
6,Academy of Management Learning {\&} Education,Educating Managers Beyond Borders.,2002,1,1,64--76,,,10.5465/AMLE.2002.7373654 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=7373654{\&}site=ehost-live{\&}scope=site,Discusses how to go beyond the borders in management education.  Borders between schools; Borders between the business functions; Borders between and among students and instructors.,"Mintzberg, Henry; Gosling, Jonathan",17,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Mintzberg, Henry","Gosling, Jonathan",-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,64,76,
6,Academy of Management Learning {\&} Education,The End of Business Schools? Less Success Than Meets the Eye.,2002,1,1,78--95,,,10.5465/AMLE.2002.7373679 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=7373679{\&}site=ehost-live{\&}scope=site,Presents an update on the state of business schools in the U.S. as of September 2002.  Effects of business schools on careers concentrates on the Master of Business Administration (MBA) degree; Significance of business school research; Barriers to changing the MBA education model.,"Pfeffer, Jeffrey; Fong, Christina T",17,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Pfeffer, Jeffrey","Fong, Christina T",-x-,-x-,-x-,-x-,-x-,-x-,-x-,3,78,95,
6,Academy of Management Learning {\&} Education,Students as Clients: A Professional Services Model for Business Education.,2003,2,4,371--374,,,10.5465/AMLE.2003.11901964 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=11901964{\&}site=ehost-live{\&}scope=site,"The paper provides comments on an article about the limitations of the student-as-customer model for guiding the operations of a business school. The article proposed a student-as-junior-partner analogy. The purpose of the article is to describe a professional services student-as-client model that offers a more realistic guide for core business school operations than either the customer model or the partner model. The next section of the paper begins by noting the situations where the partner model is well suited and shows why it is not realistic for most programs. The paper then defines the client analogy, illustrates how it offers a better fit, and describes some of the insights that it suggests. For the undergraduate and MBA programs at the core of a business school's teaching activities, the client model provides a much more useful analogy than either the partner model or the customer model. On the other hand, the partner model is well suited to exceptional programs such as the Ph.D.","Armstrong, Michael J",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Armstrong, Michael J",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,371,374,
6,Academy of Management Learning {\&} Education,Walter Nord as Intellectual and Pedagogical Hero.,2003,2,4,378--384,,,10.5465/AMLE.2003.11901968 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=11901968{\&}site=ehost-live{\&}scope=site,"The article presents an interview with Walt Nord, professor at the University of South Florida and the recipient of the Academy of Management's Distinguished Educator Award. Nord was born in Mount Kisco, New York in 1939. He took up economics and political science at Williams College. His interest in trade unions and labor market economics led him to the Industrial and Labor Relations School at Cornell for his Masters degree. By chance, his graduate assistantship was with an organizational psychologist, Ned Rosen. Rosen served as an important mentor to Nord and encouraged him to pursue a doctorate in psychology. At Washington University, Nord was fortunate to receive a fellowship at the community mental health program that was led by John Glidewell. Following his student days at Washington University, he continued on there as a teacher in business school. With respect to the personal dimension, Nord's first paper, which emerged from his dissertation on conformity and exchange theory and was published in an issue of the Psychological Bulletin","Bailey, James R; Nord, Walter R",16,-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Bailey, James R","Nord, Walter R",-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,378,384,
6,Academy of Management Learning {\&} Education,Process Theorizing: Too Important to Ignore in a Kaleidic World.,2003,2,3,288--291,,,10.5465/AMLE.2003.10932145 http://0-search.ebscohost.com.libra.naz.edu/login.aspx?direct=true{\&}AuthType=ip{\&}db=bsh{\&}AN=10932145{\&}site=ehost-live{\&}scope=site,"This article analyzes the arguments made by Lex Donaldson and Andrew Watson, university professors, about the role of theory in management education. Both Donaldson and Watson highlight the important role that theory plays in management education, but limit their discussion to variance theory--one of two fundamental types of theory in social science research. Given that variance theory has long been the dominant paradigm held by scientists and philosophers as well as the general public, it isn't surprising that both professors emphasize this orientation. Variance theory explains the variation in a dependent variable as a result of the variation in an independent variable. More generally, this approach attempts to explain a phenomenon using a small set of well-developed variables, embedded in a nomological net, tested with statistical techniques, and suited to predicting specific outcomes that are unaffected by the temporal ordering of the independent variables. Alternatively, process theory develops a causal explanation of a sequence of events over time by telling a story about how and why a phenomenon evolved as a result of the temporal ordering and probabilistic interaction of numerous events.","Chiles, Todd H",-9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"Chiles, Todd H",-x-,-x-,-x-,-x-,-x-,-x-,-x-,-x-,4,288,291,
