"","title","authors","year","src","id","keywords","abstract"
"1","When Knowledge Wins: Transcending the Sense and Nonsense of Academic Rankings.","NANCY J ADLER ANNE-WIL HARZING",2009,"Academy of Management Learning & Education","1b6e9e58-2786-3dd7-b544-e3935ad22ccc","ACADEMIC discourse ACADEMY of Management BUSINESS education BUSINESS schools -- Faculty CHIEF executive officers EDITORS GARTEN, Jeffrey LAWRENCE, Peter LEARNING & scholarship MANAGEMENT -- Study & teaching RATINGS & rankings SCHOLARLY publishing SCHOOLS","Has university scholarship gone astray? Do our academic assessment systems reward scholarship that addresses the questions that matter most to society? Using international business as an example, we highlight the problematic nature of academic ranking systems and question if such assessments are drawing scholarship away from its fundamental purpose. We call for an immediate examination of existing ranking systems, not only as a legitimate scholarly question vis-à-vis performance-a conceptual lens with deep roots in management research-but also because the very health and vibrancy of the field are at stake. Indeed, in light of the data presented here, which suggest that current systems are dysfunctional and potentially cause more harm than good, a temporary moratorium on rankings may be appropriate until more valid and reliable ways to assess scholarly contributions can be developed. The worldwide community of scholars, along with the global network of institutions interacting with and supporting management scholarship (such as the Academy of Management, AACSB, and Thomson Reuters Scientific) are invited to innovate and design more reliable and valid ways to assess scholarly contributions that truly promote the advancement of relevant 21st century knowledge, and likewise recognize those individuals and institutions that best fulfill the university's fundamental purpose. [ABSTRACT FROM AUTHOR]"
"2","Management Fads.","Barry R Armandi",2003,"Academy of Management Learning & Education","34b12d84-65dc-3c24-94c9-7e175649f3fc","EDUCATION MANAGEMENT","Presents an introduction to the section entitled ""Management Fads,"" which was published in the September 2003 issue of the periodical ""Academy of Management Learning and Education."""
"3","The Effects of Cognitive Style on Research Supervision: A Study of Student-Supervisor Dyads in Management Education.","Steven J Armstrong Christopher W Allinson John Hayes",2004,"Academy of Management Learning & Education","7fc35ff9-ea91-3f67-9f18-c9438558e19d","COGNITIVE styles MANAGEMENT -- Study & teaching MANAGEMENT science SUPERVISION SUPERVISORS TEACHER-student relationships","Although attention has been paid to many aspects of teaching and learning in management education, one seriously overlooked facet is the process of research supervision. Research at both the graduate and undergraduate levels suggests that the relationship between student and supervisor is a significant predictor of success and failure in independent research projects. One personality variable shown to be partly responsible for shaping the overall effectiveness of such relationships is cognitive style, defined as consistent individual differences in how we perceive, organize, and process information; solve problems; learn; and relate to others. In this study we examined the effects of differences and similarities in the analytic--intuitive dimension of cognitive style on the supervision process. Data were collected from both partners in 421 dyadic relationships, each comprising an academic supervisor and a management student undertaking a major research project. Findings suggest that analytic supervisors were perceived to be significantly more nurturing and less dominant than their more intuitive counterparts, indicating a higher degree of closeness in their relationships. This led to increased liking in the relationship, and significantly higher performance outcomes for the student. These effects were highest in dyads whose students and supervisors were more analytic. [ABSTRACT FROM AUTHOR]"
"4","Searching for a Resource to Teach Strategy? Try Looking Here.","J Ben Arbaugh",2005,"Academy of Management Learning & Education","c7f6466d-1ebd-3499-a336-c39c4f7754d7","BOOKS -- Reviews COMPUTER simulation COMPUTER software INFORMATION resources REVIEWS TEACHING","The article introduces a series of articles reviewing books and information resources related to teaching. The publications include books such as ""Strategy Synthesis"", ""Exploring Corporate Strategy"", ""The Strategy-Focused Organization"" and several agent-based simulation modeling computer software toolkits."
"5","An Interview With Robert E. Quinn Entering the Fundamental State of Leadership: Reflections on the Path to Transformational Teaching.","Julie M Anding",2005,"Academy of Management Learning & Education","63538340-cd26-3634-b88f-4a9ef3d830f7","COLLEGE teachers LEADERSHIP MICHIGAN QUINN Robert E. -- Interviews TEACHING","The article interviews Robert E. Quinn, M.E. Tracy Collegiate Professor in Organization Behavior and Human Resource Management at the University of Michigan, on his thoughts about the relationship between teaching and the notion of entering the fundamental state of leadership. Quinn states that if people want to make the world a better place, they need to understand change."
"6","Students as Clients: A Professional Services Model for Business Education.","Michael J Armstrong",2003,"Academy of Management Learning & Education","1141485d-02e1-30dd-8dcc-2444ee928de1","BUSINESS education BUSINESS schools BUSINESS students MASTER of business administration degree TEACHING","The paper provides comments on an article about the limitations of the student-as-customer model for guiding the operations of a business school. The article proposed a student-as-junior-partner analogy. The purpose of the article is to describe a professional services student-as-client model that offers a more realistic guide for core business school operations than either the customer model or the partner model. The next section of the paper begins by noting the situations where the partner model is well suited and shows why it is not realistic for most programs. The paper then defines the client analogy, illustrates how it offers a better fit, and describes some of the insights that it suggests. For the undergraduate and MBA programs at the core of a business school's teaching activities, the client model provides a much more useful analogy than either the partner model or the customer model. On the other hand, the partner model is well suited to exceptional programs such as the Ph.D."
"7","Kocakulah_et_al-2009-Journal_of_Legal_Studies_Education.pdf",NA,NA,NA,"1f57fe1f-b84b-39c4-91ec-1c2c09c849de",NA,NA
"8","The Socratic Method 2 . 0","Matt Hlinak",2014,NA,"bb45116e-1f70-3f6a-9c25-0428c3b15945",NA,NA
"9","Anchoring for Self-Efficacy and Success : An Anchored Asynchronous Online Discussion Case","Nimer Alrushiedat Lorne Olfman",2014,"Journal of Information Systems Education","44777043-9565-3c74-ac52-bdd660d2f33d","Asynchronous learning Case study Course management system (CMS) Qualitative research & analysis Web 2.0","In recent years, we have observed a rising interest in studying the effects of Web 2.0 technologies on student learning. We learned that human behavior can be influenced by personal and environmental factors as in Bandura’s concept of “reciprocal causation.” For business statistics students, we implemented online discussions to extend student involvement beyond the walls of the classroom, increase their effort, and enhance their success. We chose business statistics because many students struggle in this course. In the past, in our efforts to aid with this issue, when we used standard online discussions, we observed that students had difficulty navigating through those discussions. They participated strictly out of compliance and several of their comments were repeats of each other. To this end, we implemented anchored discussions to assist with the navigation issue. We examined the effects of the two forms of online discussions based on the students’ feedback in essays they were asked to write at the end of the course. Using a qualitative data analysis, students’ self-efficacy emerged as an important theme. We found that anchored asynchronous online discussions (AAODs) are more likely to help increase students’ selfefficacy than standard online discussions (AODs). Moreover, AAOD students obtained statistically significant higher exam scores than students using AODs."
"10","Evaluating the Impact and Determinants of Student Team Performance : Using LMS and CATME Data","Lynn M Braender Michele I Naples Pennington Ave",2013,"Journal of Information Systems Education","afd506d4-0097-3533-b4cc-a8140831ddd3","assessment learning management system lms peer evaluation team projects","Practitioners find it difficult to allocate grades to individual students based on their contributions to the team project. They often use classroom observation of teamwork and student peer evaluations to differentiate an individual's grade from the group's grade, which can be subjective and imprecise. We used objective data from student activity logs from our Learning Management System (LMS) as well as peer evaluations from the Comprehensive Assessment of Team Member Effectiveness' website (CATME.org) to determine impacts on team grades and peer evaluations. We found that student activity in our LMS and conflict scores from peer evaluations (CATME) do correlate with grades, as do GPAs and credits earned at the College. We also found that, while the class was in session, we could use the data from the LMS and CATME scores to intervene with those teams that were experiencing conflict to help them learn productive conflict-resolution skills."
