"","title","authors","year","src","id","keywords","abstract"
"1025","A Required GVV Ethics Course: Conscripting Ethical Conversations","Stacie Chappell Dave Webb Mark Edwards",2011,"Journal of Business Ethics Education","116be73f-8844-3cd9-9a80-6964226ad01c",NA,"Business schools around the globe are seeking effective ways of incorporating business ethics into their programs (Melé 2008, Swanson 2004). Indications from both the market and accrediting bodies suggest best-practice programs will include ethics education. However, the debate continues as to whether meaningful learning is best achieved through stand-alone ethics experiences or via an integrated theme across the program of study (Tesfayohannes & Driscoll 2010, Wilhelm 2005). While many examples of required ethics-experiences can be found, to date, there is only one business school that we are aware of that has implemented a required full-term postgraduate ethics course based on the Giving Voice To Values (GVV) (Gentile 2008) philosophy and content.The purpose of this article is to share the tacit knowledge gained in the authors' experience of implementing such a course at the University of Western Australia's Business School. [PUBLICATION ABSTRACT]"
"1026","Developing an Ethics Education Framework for Accounting","Steven Dellaportas Beverley Jackling Philomena Leung Barry J Cooper",2011,"Journal of Business Ethics Education","49d8ee15-0666-343f-a95e-514455ac7319","cognitive processes decision-making education ethics teaching theoretical model","The purpose of this paper is to propose a framework of ethics education that promotes the structured learning of ethics in the accounting discipline. The Ethics Education Framework (EEF) is based on three key inter-related components that includes: Rest's (1986) Four-Component Model of ethical decision-making and behaviour; the key cognitive and behavioural objectives of ethics education; and the discrete and pervasive approaches to delivering content. The EEF provides university students and professional accountants a structure to learn to identify, analyse, and resolve ethical issues to the point of action. The EEF is a four-stage learning continuum represented as a set of building blocks which introduces ethical concepts and then reinforces and develops new levels of understanding with progressive stages. This paper describes the EEF, and includes a discussion of how it compares with other ethics education models, and an analysis of the support through responses by professional organisations (based on an Exposure Draft issued by the International Federation of Accountants (IFAC), as the initial International Education Practice Statement). The IFAC has now revised its International Education Standard (IES 4) in relation to ethics, with a commentary period till July 2011. [PUBLICATION ABSTRACT]"
"1027","A Faculty Forum on Giving Voice To Values : Faculty Perspectives on the Uses of This Pedagogy and Curriculum for Values-Driven Leadership","Mary C Gentile",2011,"Journal of Business Ethics Education","1c503645-f75f-3530-93f9-1011b7e7ce57",NA,"Giving Voice To Values (GVV) is an innovative approach to values-driven leadership development. The Giving Voice To Values curriculum includes a set of exercises, readings and a unique type of case study wherein students are asked to develop scripts and action plans for a given values-driven position. The collection also includes faculty teaching notes, video interviews, and a book that outlines the entire approach. When it comes to curriculum development, readers will come to understand a variety of methodologies for creating new GVV cases: working with students and their internship experiences at the University of Texas-Austin; developing GVV cases that grow out of and feed back into traditional research projects at Washington State University; and crafting GVV-style teaching notes for existing case studies as at Simmons University School of Management."
"1028","Ethical sensitivity: A foundation for moral judgment","Suzy Jagger",2011,"Journal of Business Ethics Education","9cd1d6e5-1a8c-3205-88ed-2f6343da3732","business ethics computing ethics defining issues test ethical sensitivity ethics moral development moral judgment moral sensitivity professional ethics teaching","A key goal for a professional ethics teacher is to help students improve their moral reasoning within the context of their profession, with the ultimate aim of developing a commitment to the values of their future profession. Using Rest’s Four Component Model as a framework, this study examines the relationship between the first two components of moral sensitivity and moral judgment. The study utilises two scores from the same cohort of computing undergraduates: a score for ethical sensitivity using a devised dilemma analysis; and a score for change in moral judgment resulting from an educational intervention, using the Defining Issues Test (DIT). Although average DIT scores showed no significant improvement in moral judgment, this study found that levels of ethical sensitivity had a significant impact on the development of moral judgment. The paper provides evidence that ethical sensitivity appears to play a key role in the development of moral judgment. Therefore an initial key objective critical to any ethics course should be to raise student levels of ethical sensitivity as a necessary foundation for development of moral judgment. The paper also highlights the wide range of levels of ethical sensitivity measured within one cohort and suggests targeted learning support should be provided to students who score in the lower part of the scale to raise their levels of moral sensitivity early in the course."
"1029","The Relevance of GVV Approach to Management Education in India","Ranjini Swamy C M Ramesh",2011,"Journal of Business Ethics Education","9a172861-1bfc-324e-a6a5-bb61a45b4c44","gvv approach india management education","This article suggests that one of the key developments in Indian business following liberalization has been the increase in the number, diversity and activism of its stakeholders. This has presented managers with several ambiguous problems and tricky ethical dilemmas. Managers need to develop new competencies to cope, especially enhanced self-awareness, an ethical orientation, and the ability to think through, make judgments on and implement action after consideration of multiple (stakeholder) perspectives. Management education in India is yet to respond effectively to the new competency requirements. There is need to introduce changes in the curriculum to inculcate these competencies. In this context, the suitability of the GVV approach to teaching ethics is reviewed. The evidence from the initial experiences of using the GVV approach in India, while anecdotal, has been positive."
"1030","Business Ethics Across the Curriculum?","Johannes Brinkmann Ronald R Sims Lawrence J Nelson",2011,"Journal of Business Ethics Education","2107865b-9e9c-3b39-b154-ee83fb226f1a","business ethics teaching business school curriculum ethics integration guest lectures","This article describes and discusses team teaching and particularly guest lectures as a way of integrating ethics into the business curriculum. After a brief discussion of business school responsibilities and the teaching of ethics, the article looks at efforts to integrate the teaching of ethics across the curriculum. Then, findings from a small pilot study among business ethics and business school colleagues are summarized and discussed, with a focus on guest lecturing and team teaching, both with regard to experience and to faculty's willingness to try. A final section of the article formulates recommendations for how our theory could be translated into practice. [PUBLICATION ABSTRACT]"
"1031","An Empirical Study of the Influence of Mentors and Organisational Climate on the Ethical Attitudes and Decision- Making of National Female Business Graduates in the United Arab Emirates","Wendy James Lisa Mcmanus",2011,"Journal of Business Ethics Education","089171a7-db35-3b70-86c9-6b7b84f61a88","ethics islamic and western culture mentors uae national women","The ethical development of business graduates is a critical issue. Yet, little empirical evidence exists on the factors affecting business graduate ethical development and behaviour using an Islamic perspective. This study examines the effects of mentoring support, the perceived standard of ethical conduct of peers, and individual ethical attributes of National female (Emirati) business graduates from the United Arab Emirates. Research has shown that formal and informal mentoring relationships benefit new employees by enabling them to further learn and grow within an organisation. On the other hand, some employees have also shown that these relationships can have a negative impact on a new employee's ethical orientation. The aim of this study is to investigate the ethical orientations of Emirati female business graduates as they move from the relative sanctity of home and university into a new multicultural, westernised business environment. The results suggest that the ethical evaluations and behavioural intentions of Emirati graduates are affected by a multiplicity of sources including professional bodies and both mentors and peers in the workplace. It may be prudent at such a significant time in the UAE's development that educators consider introducing ethical education into tertiary curriculum."
"1032","Teaching Business Ethics with Cases: The Effect of Personal Experience","Susanna Cahn Victor Glass",2011,"Journal of Business Ethics Education","009cc3ed-018a-3044-a868-bd925eccf31a","2410 8306 9130 Business ethics College students Decision making Experiment/theoretical treatment Schools and educational services Social responsibility Studies Teaching","As a final project for a business and society course, students presented analyses of ethical dilemmas in business settings; each dilemma was different, chosen either from the student's personal business experience or from a recent business news event. Students identified multiple decision criteria (financial, ethical, etc.) relevant to the dilemma and then recommended a decision, reflecting a prioritizing of the multiple decision criteria. The goal of this research was to learn whether personal experience led to different decision priorities. Analyses from 121 students taken from six semesters of the course were sorted by choice of topic, as well as by which decision criterion was given top priority. Results showed significant differences (Chi-square value of 38.50562, significance level of 5.45963E-10) between the personal examples and the news examples. Students typically put ethical concerns first when analyzing news events. However, when it came to personal events, more self-serving concerns often took priority. These disparate results suggest that even when knowledge is gained from study of theory and cases, it may not be applied to dilemmas that arise in students' own experiences. [PUBLICATION ABSTRACT]"
"1033","Public Good Provision and Fairness Issues for Climate Change Mitigation : A Classroom Experiment","Laura Lamb Panagiotis Peter Tsigaris",2011,"Journal of Business Ethics Education","7ad51c65-ab71-3134-85b6-4cbcfc460e06","classroom experimental game climate change fairness free rider public goods risk","This article presents a new classroom experiment in order to illustrate and initiate discussion on the public good provision of prevention of dangerous anthropogenic climate change. The classroom game aids students' understanding of the difficulty associated with funding public goods; the role of fairness in climate change negotiations; the risks associated with catastrophic climate change impact; and the free riding concept. The classroom game has been played in various business, economics and political science courses. Feedback received from students indicates a rewarding learning experience."
"1034","“ Ask More ” of Business Education : Giving Voice To Values for Emerging Leaders","Jessica Mcmanus Warnell",2011,"Journal of Business Ethics Education","06b4471c-676c-3e2d-ad7b-1c9cac93136c",NA,"While the economy lumbers out of the financial crisis and the scandal-of-the-day ticks along the television screen, the ranks of students studying management, finance, accountancy, and marketing swell. This era, marked by increasing calls for accountability interwoven with movements that illustrate business's potential for good, may leave these emerging professionals shaking their heads. To consider the impact of business in society, people must acknowledge the formative role of business schools. Consistent with outcomes from other studies, students who have completed a course with substantive ethics content at one top-tier business school show solid grasp of the concepts and theoretical foundations of ethical decision making but room for growth in translating ""knowing"" to ""doing"". One promising approach is the Giving Voice To Values (GVV) curriculum. This essay explores one school's incorporation of the GVV model, complemented by the school's three-tiered approach to thought leadership and education based on the promise of business as a prosocial enterprise, and presents suggestions for future research indicated by preliminary findings with students who have successfully completed a GVV course."
